"externalCode","end-date","start-date","name","description","status","event","emplStatus"
"externalCode","end-date","start-date","name","description","status","Event","Employee Status"
"CONCRJOB","12/31/9999","01/01/1900","Additional Job",,"ACTIVE","Additional Job","Active"
"EXPATBGN","12/31/9999","01/01/1900","Foreign Expatriate Assignment",,"ACTIVE","Assignment","Active"
"INPATBGN","12/31/9999","01/01/1900","Foreign Inpatriate Assignment",,"ACTIVE","Assignment","Active"
"ASSGCOMP","12/31/9999","01/01/1900","Assignment Completion",,"ACTIVE","Assignment Completion","Terminated"
"PRCPRC","12/31/9999","01/01/1900","Probation Completed",,"ACTIVE","Completion of Probation",
"PAYBENRT","12/31/9999","01/01/1900","Benefits Base Update",,"ACTIVE","Data Change",
"DTACHBU","12/31/9999","01/01/1900","Business Unit Change",,"ACTIVE","Data Change",
"DATACONV","12/31/9999","01/01/1900"," Initial Conversion Load",,"ACTIVE","Data Change",
"PAYTGTCM","12/31/9999","01/01/1900","Change Quota/Target Comm",,"ACTIVE","Data Change",
"PAYCHANGE","12/31/9999","01/01/1900","Correction-Pay Rate",,"ACTIVE","Data Change",
"DATASTAT","12/31/9999","01/01/1900","Correction - Status",,"ACTIVE","Data Change",
"DATACHG","12/31/9999","01/01/1900","Data Change",,"ACTIVE","Data Change",
"DATACURR","12/31/9999","01/01/1900","Currency Conversion",,"ACTIVE","Data Change",
"DATADEPT","12/31/9999","01/01/1900","Data Change / Dept Name Change",,"ACTIVE","Data Change",
"JOBHOURS","12/31/9999","01/01/1900","Standard Hours Changed",,"ACTIVE","Data Change",
"DATAREORG","12/31/9999","01/01/1900","Reorganization",,"ACTIVE","Data Change",
"JOBSHIFT","12/31/9999","01/01/1900","Shift Change",,"ACTIVE","Data Change",
"JOBSUPRV","12/31/9999","01/01/1900","Supervisor Change Only",,"ACTIVE","Data Change",
"DEMONPAY","12/31/9999","01/01/1900","Demotion - No Pay Change",,"ACTIVE","Demotion",
"DEMORPAY","12/31/9999","01/01/1900","Demotion - Pay Change",,"ACTIVE","Demotion",
"DEMOLGRD","12/31/9999","01/01/1900","Demotion- Change to lower Grade",,"ACTIVE","Demotion",
"DEMOPERF","12/31/9999","01/01/1900","Demotion - Unsatisfactory Perf",,"ACTIVE","Demotion",
"LOFRED","12/31/9999","01/01/1900","Staff Reduction",,"ACTIVE","Furlough","Furlough"
"LOFSEA","12/31/9999","01/01/1900","Seasonal Closure",,"ACTIVE","Furlough","Furlough"
"LOFSLO","12/31/9999","01/01/1900","Layoff / Strike/Lock-out",,"ACTIVE","Furlough","Furlough"
"LOFTMP","12/31/9999","01/01/1900","Temporary Closure",,"ACTIVE","Furlough","Furlough"
"HIRACQRE","12/31/9999","01/01/1900","Acquired employee",,"ACTIVE","Hire","Active"
"HIRAFFIL","12/31/9999","01/01/1900","Hired from Affiliate",,"ACTIVE","Hire","Active"
"HIRINTNL","12/31/9999","01/01/1900","Internal International Transfer",,"ACTIVE","Hire","Active"
"HIRPARNT","12/31/9999","01/01/1900","Loan from Parent Company",,"ACTIVE","Hire","Active"
"HIRNEW","12/31/9999","01/01/1900","New Hire",,"ACTIVE","Hire","Active"
"JOBLGRAD","12/31/9999","01/01/1900","Job Change to lower grade",,"ACTIVE","Job Change",
"JOBTITLE","12/31/9999","01/01/1900","Data Change / Job Title Update",,"ACTIVE","Job Change",
"JOBLATRL","12/31/9999","01/01/1900","Job Change - Lateral",,"ACTIVE","Job Change",
"JOBLOCN","12/31/9999","01/01/1900","Location Change",,"ACTIVE","Job Change",
"JOBUGRDE","12/31/9999","01/01/1900","Job Change to Higher Grade",,"ACTIVE","Job Change",
"JOBEMPCL","12/31/9999","01/01/1900","Change of Employee Class",,"ACTIVE","Job Change",
"JOBFTPT","12/31/9999","01/01/1900","Full-time to Part-Time",,"ACTIVE","Job Change",
"JOBPTFT","12/31/9999","01/01/1900","Part-time to Full-Time",,"ACTIVE","Job Change",
"JOBRECLS","12/31/9999","01/01/1900","Job Reclassification ",,"ACTIVE","Job Reclassification",
"JOBGRADE","12/31/9999","01/01/1900","Pay Grade Change",,"ACTIVE","Job Reclassification",
"JOBLCLTT","12/31/9999","01/01/1900","Local Job Title Change",,"ACTIVE","Job Reclassification",
"LOACAFRA","12/31/9999","01/01/1900","California Family Rights Act",,"ACTIVE","Leave of Absence","Unpaid Leave"
"LOAEDUCN","12/31/9999","01/01/1900","Education",,"ACTIVE","Leave of Absence","Unpaid Leave"
"LOAFAMLY","12/31/9999","01/01/1900","Family Leave Birth/Adoption",,"ACTIVE","Leave of Absence","Unpaid Leave"
"LOAFMLA","12/31/9999","01/01/1900","Family and Medical Leave Act",,"ACTIVE","Leave of Absence","Unpaid Leave"
"LOAFMS","12/31/9999","01/01/1900","Family Leave Serious Illness",,"ACTIVE","Leave of Absence","Unpaid Leave"
"LOAHEA","12/31/9999","01/01/1900","Health Reasons",,"ACTIVE","Leave of Absence","Unpaid Leave"
"LOALOA","12/31/9999","01/01/1900","Leave of Absence",,"ACTIVE","Leave of Absence","Unpaid Leave"
"LOALTD","12/31/9999","01/01/1900","Long Term Disability",,"ACTIVE","Leave of Absence","Unpaid Leave"
"LOAMAT","12/31/9999","01/01/1900","Unpaid Maternity/Paternity Leave",,"ACTIVE","Leave of Absence","Unpaid Leave"
